k,mu,normalize_H,init,save_dir,modularity_mean_argmax_mean,modularity_mean_argmax_std,stability_argmax_mean_nmi,stability_argmax_std_nmi,conductance_mean_argmax_mean,conductance_mean_argmax_std,linkpred_auc_first_layer_mean,linkpred_auc_first_layer_std,runtime_sec,returncode
10,1e-06,False,louvain,grid_results\k10_mu1e-06_norm0_initlouvain,0.8050097664021954,0.012830765593410459,0.84411941591355444,0.05791337666193355,0.3698302131964791,0.03152136012012669,0.9396496967791311,0.003667817064314947,257.51,0
10,1e-06,False,random,grid_results\k10_mu1e-06_norm0_initrandom,0.79294579337233817,0.009350016566032446,0.8112823425782259,0.041435205486036325,0.3059895870895473,0.007852252163332527,0.9419568234973357,0.003248203594240001,786.39,0
10,1e-06,True,louvain,grid_results\k10_mu1e-06_norm1_initlouvain,0.7991394043513515,0.023822689784789183,0.8429985344766746,0.047749021968278516,0.3436550720139916,0.015772018029771937,0.842574852089245,0.016244829448819748,497.92,0
10,1e-06,True,random,grid_results\k10_mu1e-06_norm1_initrandom,0.7783326535737401,0.04146199554514225,0.80552497217059537,0.019707255023757086,0.2546221876305295,0.02670466700487636,0.846524306357907,0.02244010746757533,144.58,0
10,0.0001,False,louvain,grid_results\k10_mu0.0001_norm0_initlouvain,0.71451797096942532,0.014042926094146051,0.7591031467422807,0.05979704089062141,0.2631473408918105,0.03446753598236219,0.9422783119492063,0.003858855375102877,377.11,0
10,0.0001,False,random,grid_results\k10_mu0.0001_norm0_initrandom,0.7984987814128681,0.005248675626584395,0.8449870172631637,0.02702286947753586,0.2015931122685802,0.007614389709547144,0.9426182405026788,0.0030747950068858356,143.68,0
10,0.0001,True,louvain,grid_results\k10_mu0.0001_norm1_initlouvain,0.7991080897157413,0.023368192649243693,0.8427832030835021,0.04613608805956781,0.2501516791814498,0.015471331172390253,0.8413748261280155,0.01658864014062618,425.58,0
10,0.0001,True,random,grid_results\k10_mu0.0001_norm1_initrandom,0.78407866942996235,0.03808049520749912,0.9066861037332604,0.01838965860227886,0.2559068463648054,0.018377702492918837,0.8482846422138095,0.019467800651841418,154.0,0
10,0.01,False,louvain,grid_results\k10_mu0.01_norm0_initlouvain,0.82305901614461118,0.014848363184742292,0.9027238843410655,0.05663417097640878,0.2533026319541045,0.03419036252847907,0.9446332646246921,0.0037522926271311955,752.29,0
10,0.01,False,random,grid_results\k10_mu0.01_norm0_initrandom,0.82825811445563543,0.012908377060991464,0.9384074707342218,0.052457882848820574,0.2909861121119157,0.02024553534508384,0.9314893136052097,0.00817090680100278,139.31,0
10,0.01,True,louvain,grid_results\k10_mu0.01_norm1_initlouvain,0.81103670939410693,0.015298735152840748,0.86151193283239905,0.04698972376706757,0.2513443510499817,0.022855167082659514,0.8416678370358126,0.017544526169830547,368.63,0
10,0.01,True,random,grid_results\k10_mu0.01_norm1_initrandom,0.810955664866071,0.07193497804146347,0.8419979147899493,0.02979214907548548,0.1840560634756712,0.03123330353576168,0.8011404682991866,0.052566980269752824,125.76,0
20,1e-06,False,louvain,grid_results\k20_mu1e-06_norm0_initlouvain,0.83298650003055252,0.020503386203204504,0.9099410505720108,0.03723249252227411,0.2174293417681941,0.018774672325577245,0.9471982895487832,0.0015793523829242047,413.79,0
20,1e-06,False,random,grid_results\k20_mu1e-06_norm0_initrandom,0.810240348445679,0.006993964584382035,0.8657301126727513,0.028692244437287868,0.2608278324342626,0.0045634585926824555,0.952016313276439,0.0012671756211838404,189.08,0
20,1e-06,True,louvain,grid_results\k20_mu1e-06_norm1_initlouvain,0.79195166067165734,0.0393062515882559,0.8852703000814805,0.04088399165923583,0.3204025408112954,0.03205029815916922,0.8916202970805402,0.02495807919175671,460.63,0
20,1e-06,True,random,grid_results\k20_mu1e-06_norm1_initrandom,0.8383325679569887,0.018697577757479343,0.92020014704276034,0.015705511283505703,0.3865009011542204,0.012150952772024777,0.9050057727278776,0.006257391948432443,145.56,0
20,0.0001,False,louvain,grid_results\k20_mu0.0001_norm0_initlouvain,0.77970203963204453,0.02134517997376688,0.8487324289278454,0.03949650138416255,0.3082350621251399,0.01970803868723659,0.9497225582248527,0.0020560254150931243,597.51,0
20,0.0001,False,random,grid_results\k20_mu0.0001_norm0_initrandom,0.7954347468963516,0.04627056807708375,0.9558552577842843,0.1311764389134783,0.3662529572296111,0.026695364035291273,0.9479995109350849,0.010559448875516577,266.51,0
20,0.0001,True,louvain,grid_results\k20_mu0.0001_norm1_initlouvain,0.7788042759753388,0.0385787150729537,0.88581604812067405,0.04857170195731952,0.3360148631606658,0.028098102668362435,0.8919678485566779,0.02473577902560918,543.38,0
20,0.0001,True,random,grid_results\k20_mu0.0001_norm1_initrandom,0.71505595520180146,0.08145253878506668,0.90837988596197102,0.03448294613733232,0.2994160323444668,0.035427265628008534,0.8910739545297167,0.04329977153800922,208.97,0
20,0.01,False,louvain,grid_results\k20_mu0.01_norm0_initlouvain,0.8399788852830537,0.021262916138447687,0.8871143599765984,0.04483132033995257,0.3080582320682032,0.02139589651211534,0.9518171308539445,0.002117628677143976,417.5,0
20,0.01,False,random,grid_results\k20_mu0.01_norm0_initrandom,0.7713942264400572,0.009371544450203348,0.87767027301717785,0.04208147330604574,0.3151625389192372,0.012899909309669793,0.9349099716128876,0.006980787106647283,247.55,0
20,0.01,True,louvain,grid_results\k20_mu0.01_norm1_initlouvain,0.79775531601326387,0.062021357883733357,0.93088463207580685,0.04550715194076491,0.2254460636128145,0.02114322499818868,0.9016083280814062,0.013925204636139823,367.61,0
20,0.01,True,random,grid_results\k20_mu0.01_norm1_initrandom,0.838617476078221,0.08235799097178004,0.86661330256549093,0.05003630285764397,0.2864633115963511,0.037088483707122796,0.9010142356234996,0.047688522253623654,214.68,0
50,1e-06,False,louvain,grid_results\k50_mu1e-06_norm0_initlouvain,0.83304758807111825,0.02020385805769716,0.8325781408056111,0.029933238074792895,0.283663551074043,0.009567452627312435,0.9518438237336445,0.0019077457347207085,581.72,0
50,1e-06,False,random,grid_results\k50_mu1e-06_norm0_initrandom,0.8224059838610234,0.014695529765953202,0.8782872596981048,0.016807534748462256,0.2984050600086002,0.006333525737987625,0.9603267323941402,0.0016124509260794148,378.35,0
